ID,NAME,MSINI,A,PER,ECC,OM,T0,K,OTHERNAME,HD,HR,HIPP,GL,KEPID,R,DENSITY,GRAVITY
214,HD 217107 c,2.61546,5.33414,4270,0.517222,198.598,2451106.321,35.7,,217107,8734,113421,,,,,0
215,HD 74156 b,1.77342,0.291535,51.638,0.63,174,2450793.3,108,,74156,,42723,,,,,0
216,HD 103774 b,0.368054,0.070273,5.8881,0.09,318,2455675.4,34.3,2MASS J11565559-1206284,103774,,58263,,,,,
217,Kepler-43 b,3.21573,0.0449294,3.024095,0,90,2454965.416,375,KOI-135,,,,,,1.2,2.33,3.74647
218,WASP-13 b,0.477697,0.0537035,4.353011,0,90,2455575.514,56.125,,,,,,,1.389,0.22211,2.78083
219,Kepler-84 b,,,12.883,,,,,KOI-1589,,,,,,0.211,0,0
220,HD 13931 b,1.88123,5.14931,4218,0.02,290,2454494,23.3,,13931,,10626,,,,,0
221,HAT-P-18 b,0.197162,0.0559503,5.508023,0.084,120,2454715.411,27.1,2MASS J17052315+3300450,,,,,,0.995,0.25,2.69234
222,HD 155358 c,0.807031,1.00082,391.9,0.16,180,2455345.4,24.9,,155358,,83949,,,,,0
223,WASP-43 b,1.7613,0.0142363,0.813475,0,90,2455528.868,550.3,2MASS J10193800-0948225,,,,,,0.93,2.9393,3.70192
224,Kepler-39 b,18.1767,0.155007,21.0874,0.121,98.9,2454973.006,1251,KOI-423,,,,,,1.22,12.4,4.48033
225,14 And b,4.68383,0.823151,185.84,0,0,2452861.4,100,,221345,8903,116076,,,,,0
226,Kepler-29 b,0,0.0928723,10.3376,0,90,2454982.75,,KOI-738,,,,,,0.320884,,
227,Kepler-24 b,0,0.0800144,8.14561,0,90,2454973.569,,KOI-1102,,,,,,0.213923,,
228,Kepler-83 b,,0.0778725,9.77,,,,,KOI-898,,,,,,0.252,,
229,81 Cet b,4.31096,2.28088,952.7,0.206,175,2452486,62.8,,16400,771,12247,,,,,0
230,CoRoT-3 b,21.799,0.0573788,4.2568,0,90,2454283.138,2194,2MASS 19281326+0007185,,,,,,1.01,26.4,4.71616
231,HAT-P-38 b,0.267451,0.0522992,4.640382,0.067,240,2455860.925,35.4,2MASS 02213197+3214461,,,,,,0.825,0.59,2.98823
